Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:964010


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
964010;2;01/12/2023;3;"68,4";"263,0";9;26;1;1;1;;;"3,8";"0,8";"1,4";"0,0";"1,6";"0,2";"1,2";"61,0";"68,4";"0,2";"0,4";"0,2";"0,0";"0,0";"0,2";"10,4";"5,2";"1,6";"6,4";"3,4";"44,6";"3,4";"0,0";"0,0";"5,4";"0,6";"2,8";"34,4";"3,6";"0,2";"1,6";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
964010;1;01/12/2023;3;"68,4";"263,0";9;26;1;1;1;;;"3,8";"0,8";"1,4";"0,0";"1,6";"0,2";"1,2";"61,0";"68,4";"0,2";"0,4";"0,2";"0,0";"0,0";"0,2";"10,4";"5,2";"1,6";"6,4";"3,4";"44,6";"3,4";"0,0";"0,0";"5,4";"0,6";"2,8";"34,4";"3,6";"0,2";"1,6";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
964010;2;01/11/2023;3;"88,6";"191,6";24;14;1;1;1;;;"0,0";"0,0";"0,0";"0,2";"0,0";"0,0";"0,0";"12,8";"0,0";"0,0";"5,2";"9,2";"0,2";"3,4";"0,2";"0,0";"0,0";"0,0";"11,2";"0,0";"0,0";"6,4";"0,0";"88,6";"22,2";"0,2";"0,0";"11,4";"0,0";"20,4";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
964010;1;01/11/2023;3;"88,6";"191,6";24;14;1;1;1;;;"0,0";"0,0";"0,0";"0,2";"0,0";"0,0";"0,0";"12,8";"0,0";"0,0";"5,2";"9,2";"0,2";"3,4";"0,2";"0,0";"0,0";"0,0";"11,2";"0,0";"0,0";"6,4";"0,0";"88,6";"22,2";"0,2";"0,0";"11,4";"0,0";"20,4";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
964010;2;01/10/2023;3;"18,6";"44,0";19;7;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,2";"0,0";"17,8";"1,4";"0,0";"0,0";"18,6";"0,0";"0,0";"0,0";"0,4";"0,0";"0,0";"0,0";"0,0";"0,6";"0,0";"2,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
964010;1;01/10/2023;3;"18,6";"44,0";19;7;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,2";"0,0";"17,8";"1,4";"0,0";"0,0";"18,6";"0,0";"0,0";"0,0";"0,4";"0,0";"0,0";"0,0";"0,0";"0,6";"0,0";"2,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
964010;2;01/09/2023;3;"10,8";"31,6";29;8;1;1;1;;;"3,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"9,0";"2,6";"0,0";"0,0";"0,0";"1,2";"0,2";"0,0";"0,0";"10,8";"0,2";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
964010;1;01/09/2023;3;"10,8";"31,6";29;8;1;1;1;;;"3,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"9,0";"2,6";"0,0";"0,0";"0,0";"1,2";"0,2";"0,0";"0,0";"10,8";"0,2";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
964010;2;01/08/2023;3;"15,0";"28,2";31;4;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,8";"9,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,4";"0,0";"0,0";"0,0";"15,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
964010;1;01/08/2023;3;"15,0";"28,2";31;4;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,8";"9,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,4";"0,0";"0,0";"0,0";"15,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
